


A.  .plot_1.curve_1.y_data (newton)
B.  .plot_1.curve_2.y_data (newton)
C.  .plot_1.curve_3.y_data (newton)
D.  .plot_1.curve_4.y_data (newton)

       A               B               C               D         
 0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00   
 0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00   
 0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00   
 9.466053E-05    0.000000E+00    0.000000E+00    0.000000E+00   
 1.356931E-02    0.000000E+00    0.000000E+00    0.000000E+00   
 6.795373E-02    0.000000E+00    0.000000E+00    0.000000E+00   
 2.190585E-01    0.000000E+00    0.000000E+00    0.000000E+00   
 4.895870E-01    0.000000E+00    0.000000E+00    0.000000E+00   
 8.163626E-01    0.000000E+00    0.000000E+00    0.000000E+00   
 1.098461E+00    0.000000E+00    0.000000E+00    0.000000E+00   
 1.297764E+00    0.000000E+00    0.000000E+00    0.000000E+00   
 1.541449E+00    0.000000E+00    0.000000E+00    0.000000E+00   
 1.743842E+00    0.000000E+00    0.000000E+00    0.000000E+00   
 1.936600E+00    0.000000E+00    0.000000E+00    0.000000E+00   
 2.131470E+00    0.000000E+00    0.000000E+00    0.000000E+00   
 2.256548E+00    0.000000E+00    0.000000E+00    0.000000E+00   
 1.582841E-02    0.000000E+00    0.000000E+00    0.000000E+00   
 1.653059E-02    0.000000E+00    0.000000E+00    0.000000E+00   
 1.910919E-02    0.000000E+00    0.000000E+00    0.000000E+00   
 2.130377E-02    0.000000E+00    0.000000E+00    0.000000E+00   
 2.395600E-02    0.000000E+00    0.000000E+00    0.000000E+00   
 2.625818E-02    0.000000E+00    0.000000E+00    0.000000E+00   
 2.846041E-02    0.000000E+00    0.000000E+00    0.000000E+00   
 3.126699E-02    0.000000E+00    0.000000E+00    0.000000E+00   
 3.382238E-02    0.000000E+00    0.000000E+00    0.000000E+00   
 3.570158E-02    0.000000E+00    0.000000E+00    0.000000E+00   
 3.796594E-02    0.000000E+00    0.000000E+00    0.000000E+00   
 4.037520E-02    0.000000E+00    0.000000E+00    0.000000E+00   
 4.238266E-02    0.000000E+00    0.000000E+00    0.000000E+00   
 4.416653E-02    0.000000E+00    0.000000E+00    0.000000E+00   
